smiles,ec_reduction,dm_reduction,pf6_decomposition,polymerization
CC(=O)OC1=CC(=O)O1,0.474836,0.462305,1.324969,0.377813
C1CC(=O)OC1,0.545264,0.628811,1.317731,0.435176
COC(=O)C1=CC=CC=C1,0.675482,0.830927,1.306422,0.509172
COC(=O)OC,0.527444,0.496984,1.184774,0.344778
CC(=O)OC,0.494802,0.642973,1.186164,0.317543
C1CCC(=O)OC1,0.661462,0.665118,1.261651,0.348973
COC(=O)CN(C)C,0.451841,0.556465,1.16758,0.362965
CC1=CC=CC=C1C(=O)OC,0.686455,0.809375,1.310167,0.634054
OC1CCOC1,0.472353,0.491097,1.278427,0.276094
C1COCCO1,0.567719,0.542884,1.142171,0.404915
CC(C)OC(=O)C,0.644655,0.70746,1.264713,0.419819
COC(=O)C(C)C,0.522406,0.64979,1.240338,0.47918
CCC(=O)OC,0.593833,0.574998,1.267274,0.39231
CC(C)C(=O)OC,0.562486,0.716366,1.31492,0.472888
C1CCC(C)OO1,0.602011,0.725107,1.279328,0.508871
COC(=O)C1CC1,0.552693,0.653867,1.195753,0.351754
C1CCOC1,0.70668,0.833774,1.214699,0.519525
CCOC(=O)C,0.594734,0.630894,1.26914,0.488466
C=CC(=O)OC,0.556941,0.720774,1.108883,0.439219
CC(C)OC,0.689958,0.773497,1.235108,0.384634
C1CCC1,0.763848,0.908912,1.301915,0.51771
CC1=CC=CC=C1O,0.691185,0.816263,1.388761,0.573015
COC1=CC=C(C=C1)C(=O)OC,0.616375,0.764956,1.357277,0.540826
CC(C)(C)OC(=O)C,0.603837,0.718398,1.270395,0.385104
C1=CC=C(C=C1)C(F)(F)F,0.941238,1.07845,1.325526,0.680595
C1=CC=C(C=C1)C(F)(F)F,0.855663,1.044365,1.308134,0.65221
C1=CC=C(C=C1)C(F)(F)F,0.918368,1.085599,1.419579,0.701053
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.962878,1.096278,1.25443,0.698674
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.953012,1.223162,1.34075,0.715077
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.918792,1.000173,1.376221,0.690493
C1=CC=C(C=C1)C(=O)OC(F)(F)F,0.809708,0.84021,1.444233,0.515766
C1=CC(=C(C=C1)C(=O)OC)C(F)(F)F,0.80266,0.998837,1.326245,0.555748
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)F,0.8495,0.946021,1.342738,0.640891
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.836869,1.047161,1.402494,0.745935
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.850821,1.007379,1.489141,0.606895
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.948014,1.142495,1.397078,0.709232
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.962994,1.139091,1.438152,0.633977
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.976097,1.114849,1.512525,0.717322
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.915999,1.111613,1.514654,0.664282
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.043289,1.123692,1.394162,0.732828
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.901266,1.139354,1.48267,0.658966
C1=CC(=C(C=C1)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.998169,1.120639,1.49483,0.79484
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.937731,1.062313,1.380264,0.659209
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.946145,1.117058,1.467562,0.741359
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.95065,1.172677,1.470037,0.836008
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.981283,1.057142,1.429725,0.724124
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.938827,1.1357,1.523662,0.696359
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.90766,1.024258,1.477674,0.74282
