smiles,logS
O=C(O)C1=CC=CC=C1,-2.93
CC(C)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.73
O=C(O)C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-1.24
C1=CC2=C(C=C1C(=O)O)C(=O)OC2=O,-1.58
CC(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C,-10.0
C1=CC2=C(C=C1)C3=CC=CC=C3C4=CC=CC=C24,-4.1
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C,-6.2
C1=CC2=C(C=C1)C3=CC=CC=C3C4=CC=CC=C24,-4.1
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C,-4.4
C1=CC2=CC=CC=C2C3=CC=C(C=C1)C4=CC=CC=C43,-4.3
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C6=CC=C(C=C6)C,-6.2
C1=CC2C(=C1)C=Cc1ccccc12,-6.5
CCCCCCCCCCCCCCCCCC,-5.67
CCC,-1.65
C=CC,-1.25
CC(C)O,-0.28
CC(=O)OC1=CC=CC=C1,-1.74
O=C(O)C1=CC=C(O)C=C1,-2.94
CC(=O)NC1=CC=CC=C1,-1.39
CC(=O)NC1=CC=C(C=C1)OC,-1.42
C1=CC2=C(C=C1C(=O)O)C(=O)C3=CC=CC=C32,-2.8
CC(C)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.73
C1=CC2=C(C=CC=C2C3=CC=CC=C13),-4.92
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C,-4.54
C1=CC2=C(C=C1)C3=CC=CC=C3C4=CC=CC=C24,-4.1
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C6=CC=C(C=C6)C,-4.92
C1=CC2=C(C=C1)C3=CC=CC=C3C4=CC=CC=C24,-4.1
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C6=CC=C(C=C6)C7=CC=C(C=C7)C,-6.2
C1=CC2=C(C=C1C(=O)O)C(=O)C3=CC=CC=C32,-2.8
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C6=CC=C(C=C6)C7=CC=C(C=C7)C8=CC=C(C=C8)C,-6.8
CCCCCCCCCCCCCCCCCCO,-3.87
C1CCCCC1C2CCCCC2C3CCCCC3,-4.88
C1=CC2=C(C=C1)C3=CC=CC=C3C4=CC=CC=C24,-4.92
CCCCCCCCCCCCCCCCCCO,-3.87
C1=CC2=C(C=C1)C3=CC=CC=C3C4=CC=CC=C24,-4.1
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C,-4.4
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C6=CC=C(C=C6)C,-6.2
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C6=CC=C(C=C6)C7=CC=C(C=C7)C,-6.5
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C6=CC=C(C=C6)C7=CC=C(C=C7)C8=CC=C(C=C8)C,-6.8
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C6=CC=C(C=C6)C7=CC=C(C=C7)C8=CC=C(C=C8)C9=CC=C(C=C9)C,-6.8
CCCCCCCCCCCCCCCCCC,-5.67
CCC,-1.65
C=CC,-1.25
CC(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C,-3.5
C1CCC2C3CCC4CC5CC6CC7CC7CC6CC5CC4C3CCC21,-6.5
C1CCCCC1C2CCCCC2C3CCCCC3,-4.88
CCO,-0.31
CC(C)O,-0.28
COCCOC,-0.85
CC(=O)OC,-0.12
CN(C)C=O,-0.36
CC(=O)O,-0.17
CCC,-1.65
C=CC,-1.25
