smiles,homo,lumo,gap
C#C,-7.7416433,1.3768968400000001,9.11854014
C#N,-9.80698856,0.51973774,10.329447440000001
C=O,-7.265443800000001,-1.10478284,6.15793982
CC,-9.211058900000001,2.83270674,12.04376564
CO,-7.2191844199999995,2.13337376,9.35255818
CC#C,-7.099454260000001,1.6680588200000002,8.76751308
CC#N,-8.881800960000001,1.02314864,9.9049496
CC=O,-6.911695600000001,-0.53878572,6.37290988
C(=O)N,-6.919859020000001,0.82178428,7.7416433
CCC,-8.7892822,2.5823618600000002,11.37164406
CCO,-7.1266656600000005,2.17146972,9.29813538
COC,-6.870878500000001,2.4762374,9.3471159
C1CC1,-7.85865232,2.83542788,10.6940802
C1CO1,-7.29809748,2.83542788,10.13352536
CC(=O)C,-6.61509134,-0.23673918,6.37835216
CC(=O)N,-6.6286970400000005,0.9442355800000001,7.5729326200000004
C(=O)(N)N,-6.7892443,1.51295384,8.30219814
CC(C)C,-8.61785038,2.29392102,10.911771400000001
CC(C)O,-7.10761768,2.0136436,9.11854014
C#CC#C,-7.072242860000001,-0.58232396,6.49264004
C#CC#N,-8.44097628,-1.47757902,6.963397260000001
C(#N)C#N,-10.05733344,-2.51977564,7.537557800000001
C#CC=O,-7.55660578,-2.0000379,5.55656788
C(=O)C#N,-8.61512924,-2.9932540000000003,5.6218752400000005
C(=O)C=O,-7.260001519999999,-3.02862882,4.2313727000000005
CC#CC,-6.56338968,1.86125976,8.42464944
CCC#C,-7.0531948799999995,1.54016524,8.59063898
CCC#N,-8.74302282,0.9251876000000001,9.668210420000001
C(C#N)N,-7.30081862,0.47075722,7.7688546999999994
C#CCO,-7.0613583,0.75375578,7.815114080000001
C(C#N)O,-8.212400520000001,0.05986508000000001,8.26954446
CCC=O,-6.80285,-0.5578337000000001,6.2450163000000005
CNC=O,-6.8463882400000005,0.9115819000000001,7.757970140000001
COC=O,-7.65728796,0.20136436000000002,7.85865232
C(C=O)O,-6.90353218,-0.92790874,5.97562344
CCCC,-8.6260138,2.54970818,11.17572198
CCCO,-7.1266656600000005,2.2041234000000003,9.33078906
CCOC,-6.811013420000001,2.5170545,9.32806792
C(CO)O,-7.058637160000001,1.58914576,8.650504060000001
CC1CC1,-7.42054878,2.7537936800000002,10.171621320000002
CC1CO1,-7.164761619999999,2.8626392800000002,10.0274009
CN1CC1,-6.26950656,2.63406352,8.900848940000001
C1CC1O,-6.5035246,2.1088835,8.61512924
C1CCC1,-8.114439480000001,2.60140984,10.71584932
C1COC1,-6.59604336,2.33745926,8.93350262
CC(=NO)C,-6.50896688,0.52245888,7.031425760000001
c1cc[nH]c1,-5.52119306,1.35784886,6.879041920000001
c1cnc[nH]1,-6.1307284200000005,0.90341848,7.0341469000000005
c1ccoc1,-6.11168044,0.54150686,6.6531873
c1cocn1,-6.827340260000001,0.0272114,6.85455166
CC(C)(C)C,-8.5579853,2.00548018,10.56346548
CC(C)(C)O,-7.07768514,1.80683696,8.8845221
CC(=O)C#C,-7.221905560000001,-1.5646555000000002,5.65725006
CC(=O)C#N,-8.18246798,-2.4190934600000005,5.76337452
C(#N)C(=N)N,-7.45320246,-1.19185932,6.26134314
C#CC(=O)N,-7.153877060000001,-0.75375578,6.4001212800000005
CC(=O)C=O,-6.906253320000001,-2.62317896,4.2830743600000005
C(=O)C(=N)N,-6.96883954,-1.7415296,5.2245888
C(=O)C(=O)N,-6.892647620000001,-2.0762298200000004,4.8164178
CC(C)C#C,-7.045031460000001,1.55377094,8.5988024
CC(C)C#N,-8.6532252,0.9932160999999999,9.6464413
CC(N)C#N,-7.35796256,0.75647692,8.11716062
CC(O)C#C,-7.2518381000000005,0.91430304,8.16614114
CC(O)C#N,-8.30219814,0.3129311,8.61512924
CC(C)C=O,-6.71849466,-0.51157432,6.20692034
CC(O)C=O,-6.938907,-0.7591980600000001,6.17970894
CN(C)C=O,-6.59604336,0.8898127800000001,7.485856140000001
CC(=O)CO,-7.3443568599999995,-0.71293868,6.631418180000001
CCC(=O)C,-6.59332222,-0.19592208,6.39740014
CCC(=O)N,-6.63413932,0.9660046999999999,7.60014402
CC(=O)NC,-6.57971652,1.05308118,7.632797700000001
CNC(=O)N,-6.6286970400000005,1.62996286,8.255938760000001
COC(C)=N,-7.0613583,0.9578412800000001,8.02192072
CC(=O)OC,-7.306260900000001,0.47347836,7.77973926
COC(=O)N,-7.262722660000001,1.5646555000000002,8.82737816
C(C(=O)N)O,-6.6940044,0.74287122,7.43687562
[NH3+]CC([O-])=O,-6.8763207799999995,0.56599712,7.442317900000001
CC(C)CO,-7.153877060000001,2.14697946,9.30085652
CC(O)CO,-7.06680058,1.7170393400000001,8.78383992
CCC(C)C,-8.3947169,2.3129690000000003,10.704964760000001
CCC(C)O,-7.12122338,1.9945956200000001,9.115819
CC(C)OC,-6.73754264,2.3401804,9.07772304
CC1(CC1)C,-7.164761619999999,2.42997802,9.59473964
CC1(CO1)C,-7.06407944,2.4762374,9.5375957
CC1(CC1)O,-6.786523160000001,2.1116046400000004,8.898127800000001
N=C1CCO1,-7.1565982,0.75375578,7.910353980000001
C1CC(=O)C1,-6.5715531,-0.5279011600000001,6.04637308
C1CNC1=O,-6.80285,1.0340332,7.8368832
C1COC1=O,-7.58653832,0.24218146000000002,7.83144092
C1C(=O)CN1,-6.631418180000001,-0.70205412,5.92936406
C1C(=O)CO1,-7.20285758,-0.9578412800000001,6.2450163000000005
CC1CCC1,-7.880421440000001,2.5224967800000004,10.40291822
CC1CCO1,-6.5579474,2.4898431,9.047790500000001
CC1COC1,-6.58243766,2.21500796,8.79744562
C1CC(C1)O,-6.9661184,2.1796331400000004,9.145751540000001
C1C(CO1)O,-6.7076101,1.64356856,8.35117866
CC1CC1C,-7.16204048,2.5578716,9.72263322
CC1CC1O,-6.851830520000001,2.23677708,9.088607600000001
CC1CN1C,-5.98378686,2.53338134,8.5171682
CC1OC1C,-7.0014932199999995,2.67760176,9.67909498
OC1CC1O,-6.44638066,1.7469718799999998,8.19335254
C1C2CC1C2,-8.09267036,2.94427348,11.036943840000001
C1C2CC1O2,-6.4001212800000005,2.70481316,9.104934440000001
C#CCC#C,-7.164761619999999,0.9387933000000002,8.10355492
C#CCC#N,-7.921238540000001,0.30204654000000003,8.22328508
C(C#N)C#N,-9.50766316,-0.41089214,9.09949216
C#CCC=O,-7.028704619999999,-0.9170241800000001,6.1089593
C(C=O)C#N,-7.804229520000001,-1.5456075200000001,6.258622000000001
C(=N)NC=O,-6.77835974,-0.5877662400000001,6.1933146400000005
N=COC=O,-7.98382476,-0.81089972,7.17292504
C(=O)NC=O,-7.09673312,-1.13199424,5.96201774
CC#CC#C,-6.5851588,-0.23129690000000003,6.353861900000001
CC#CC#N,-7.8123929400000005,-1.02586978,6.786523160000001
CC#CC=O,-7.1892518800000005,-1.6109148800000002,5.5810581400000006
CC#CCO,-6.5878799400000005,1.00137952,7.58925946
CCC#CC,-6.53345714,1.7170393400000001,8.253217620000001
CN=COC,-6.75114834,0.68300614,7.43415448
CCCC#C,-7.03686804,1.58642462,8.62329266
CCCC#N,-8.6668309,0.9932160999999999,9.660047
CNCC#N,-6.775638600000001,0.56599712,7.34163572
COCC#C,-6.9797241,0.8816493599999999,7.86137346
COCC#N,-7.77973926,0.2176912,7.99743046
C#CCCO,-7.140271360000001,1.49390586,8.63689836
C(CO)C#N,-7.92940196,0.8789282200000001,8.80833018
CCCC=O,-6.767475180000001,-0.5306223,6.23685288
CCNC=O,-6.800128860000001,0.9115819000000001,7.71171076
CCOC=O,-7.55932692,0.24762374,7.804229520000001
COCC=O,-7.01237778,-0.76736148,6.2450163000000005
C(CO)C=O,-6.90081104,-0.7755249000000001,6.122565000000001
CCCCC,-8.4491397,2.5170545,10.9661942
CCCCO,-7.1157811,2.21228682,9.32806792
CCCOC,-6.80285,2.51977564,9.32262564
CCOCC,-6.75659062,2.53338134,9.289971959999999
COCCO,-7.1021754,2.23405594,9.336231340000001
C(CO)CO,-7.09401198,2.11976806,9.213780040000001
C#CC1CC1,-6.5987645,1.36873342,7.9674979200000005
C#CC1CN1,-6.59060108,0.87620708,7.466808159999999
C#CC1CO1,-7.211021000000001,0.51429546,7.72531646
C1CC1C#N,-7.975661340000001,0.78640946,8.7620708
N#CC1CN1,-7.551163500000001,0.20680664,7.757970140000001
N#CC1CO1,-8.37294778,-0.19592208,8.17430456
C1CC1C=O,-6.76475404,-0.42721897999999997,6.33753506
O=CC1CN1,-7.181088460000001,-1.03675434,6.14433412
O=CC1CO1,-7.17292504,-1.13743652,6.03276738
C1CN1C=O,-6.952512700000001,-0.03537482,6.917137879999999
CCC1CC1,-7.40966422,2.68304404,10.09270826
CCC1CO1,-7.13755022,2.6558326400000003,9.79338286
CCN1CC1,-6.25590086,2.585083,8.840983860000001
COC1CC1,-6.6395816000000005,2.5986887000000003,9.238270300000002
C1CC1CO,-7.07768514,2.1497006,9.2246646
OCC1CN1,-6.6286970400000005,1.84221178,8.470908820000002
OCC1CO1,-7.18653074,2.11432578,9.30085652
C1CC=CC1,-6.353861900000001,0.8843705000000001,7.2409535400000005
C1COC=N1,-6.745706060000001,0.65579474,7.401500800000001
C1C=CCO1,-6.266785420000001,0.51157432,6.77835974
C1CCCC1,-8.37566892,2.29664216,10.67231108
C1CCOC1,-6.745706060000001,2.2449405000000002,8.990646560000002
C1COCO1,-6.99877208,2.3537860999999998,9.35255818
C1C2CCC12,-6.85455166,2.68576518,9.540316840000001
C1C2COC12,-6.35930418,2.32113242,8.6804366
C1CC2OC12,-6.84910938,2.5878041400000003,9.436913520000001
c1c[nH]nc1,-6.63413932,0.65035246,7.28449178
c1cnn[nH]1,-7.18653074,-0.06258622,7.123944519999999
c1[nH]ncn1,-7.360683700000001,0.16054726,7.52123096
c1[nH]cnn1,-6.94162814,0.44626696000000005,7.387895100000001
c1cn[nH]n1,-7.461365880000001,-0.1496627,7.31170318
c1cnoc1,-7.28449178,-0.37551732,6.906253320000001
c1conn1,-7.78790268,-1.1973016,6.59060108
c1ncon1,-8.31036156,-0.9115819000000001,7.39877966
c1nnco1,-7.86137346,-0.48436292000000003,7.377010540000001
c1nnno1,-9.006973400000001,-1.74969302,7.25728038
c1cnon1,-8.74302282,-1.4013871,7.34163572
c1nnon1,-9.19473206,-2.2177291,6.97428182
n1nnon1,-9.98930494,-2.9197832200000002,7.06952172
CC(=NO)C#C,-6.484476620000001,-0.8571591000000001,5.627317520000001
CC(=NO)CO,-6.80829228,0.17959524000000002,6.98516638
CCC(=NO)C,-6.5035246,0.47075722,6.97156068
C1CC(=NO)C1,-6.5443417,0.20136436000000002,6.745706060000001
C1C(=NO)CN1,-6.258622000000001,0.07074964,6.329371640000001
C1C(=NO)CO1,-6.79740772,-0.12517244,6.672235280000001
C(F)(F)(F)F,-11.66280604,5.2654059,16.92821194
N=C1NC=CO1,-5.29805958,0.78368832,6.081747900000001
N=C1OC=CO1,-6.155218680000001,0.32109452,6.4763132
c1c[nH]c(=O)[nH]1,-5.30894414,1.10478284,6.41372698
c1coc(=O)[nH]1,-6.0273251000000005,0.56327598,6.59060108
c1coc(=O)o1,-6.8844842,0.07347078000000001,6.95523384
Cc1ccc[nH]1,-5.26268476,1.34968544,6.6123702
Cc1ccco1,-5.779701360000001,0.65035246,6.43005382
Cc1cnco1,-6.432774960000001,0.17959524000000002,6.6123702
Cc1ncco1,-6.4518229400000005,0.22313348000000002,6.67495642
c1cc([nH]c1)N,-5.034109,1.51295384,6.547062840000001
c1cc(oc1)N,-5.01778216,1.08029258,6.09807474
c1c(ocn1)N,-5.57561586,0.54967028,6.12528614
c1coc(n1)N,-5.68174032,0.7728037600000001,6.457265220000001
c1cc([nH]c1)O,-4.9361479600000004,1.7279239000000002,6.664071860000001
c1c([nH]cn1)O,-5.50214508,1.21907072,6.7212158
c1cnc([nH]1)O,-5.5810581400000006,1.3741757,6.952512700000001
Cc1cc[nH]c1,-5.39329948,1.45036762,6.8436671
Cc1c[nH]cn1,-5.86949898,1.02314864,6.892647620000001
Cc1ccoc1,-5.94024862,0.680285,6.62325476
Cc1cocn1,-6.5171303,0.20136436000000002,6.71577352
c1c[nH]cc1N,-4.73750474,1.5183961200000002,6.25590086
c1c(nc[nH]1)N,-5.031387860000001,1.0639657400000002,6.09807474
c1cocc1N,-5.29805958,0.7891306000000001,6.08719018
c1c(nco1)N,-5.59738498,0.29116198,5.88854696
c1c[nH]cc1O,-5.0722049600000005,1.36057,6.432774960000001
c1c(nc[nH]1)O,-5.45860684,0.8571591000000001,6.31576594
c1c(nco1)O,-6.100795880000001,0.0272114,6.12800728
Cn1cccc1,-5.45860684,1.25988782,6.71849466
Cn1ccnc1,-6.03004624,0.8816493599999999,6.91441674
c1ccccc1,-6.7348215,0.07891306,6.811013420000001
c1ccncc1,-6.851830520000001,-0.6122565,6.23957402
c1cnccn1,-6.78380202,-1.39050254,5.39329948
c1cncnc1,-6.88720534,-1.1292731,5.757932240000001
c1ncncn1,-7.53211552,-1.50751156,6.02460396
CC(C)(C)C#C,-7.0341469000000005,1.7115970600000001,8.74574396
CC(C)(C)C#N,-8.58791784,1.19185932,9.77977716
CC(C)(C#N)N,-7.279049500000001,0.9496778600000001,8.22872736
CC(C)(C#C)O,-7.045031460000001,1.1564845000000001,8.20151596
CC(C)(C#N)O,-7.975661340000001,0.5877662400000001,8.566148720000001
CC(C)(C)C=O,-6.7212158,-0.48708406,6.2341317400000005
CC(C)(C=O)O,-6.865436220000001,-0.70205412,6.163382100000001
CC(C)(C)CO,-7.1783673199999996,1.9728265,9.15119382
CC(C)(CO)O,-7.1266656600000005,1.97826878,9.104934440000001
CCC(C)(C)C,-8.24777534,2.03541272,10.2859092
CCC(C)(C)O,-7.07768514,1.79051012,8.86819526
CC(C)(C)OC,-6.6803987000000005,2.1497006,8.8300993
CC#CC(=O)C,-6.88992648,-1.2217918600000002,5.66541348
CC#CC(=O)N,-6.80829228,-0.4353824,6.37290988
CC#CC(C)C,-6.54162056,1.72248162,8.26138104
CC#CC(C)O,-6.78108088,1.13199424,7.91307512
CC(=O)CC#C,-6.6940044,-0.5034109,6.1905935
CC(=O)CC#N,-7.455923600000001,-1.0068218,6.4491018
C#CCC(=O)N,-6.79740772,0.6639581600000001,7.461365880000001
C(C#N)C(=O)N,-7.45864474,0.13877814000000002,7.597422880000001
CC(=N)NC=O,-7.10489654,-0.48164178,6.62325476
CC(=N)OC=O,-7.40966422,-0.68300614,6.72665808
CC(=O)CC=O,-6.816455700000001,-1.03675434,5.779701360000001
CC(=O)NC=N,-6.52257258,-0.31020996,6.21236262
CC(=O)NC=O,-6.83278254,-0.81089972,6.02188282
CC(=O)OC=N,-7.53211552,-0.6394679,6.892647620000001
C(=O)NC(=N)N,-6.35658304,-0.39728644,5.956575460000001
C(C=O)C(=O)N,-6.80829228,-0.75647692,6.049094220000001
C(=N)NC(=O)N,-6.64774502,0.11428788,6.75931176
C(=O)NC(=O)N,-6.933464720000001,-0.34830592000000005,6.5851588
NC(=O)OC=N,-7.46408702,0.06530736,7.52939438
CC(C)CC#C,-7.047752600000001,1.5047904200000002,8.552543020000002
CC(C)CC#N,-8.60152354,0.94151444,9.543037980000001
CC(O)CC#C,-7.13482908,1.4830213,8.61785038
CC(O)CC#N,-7.798787240000001,0.94695672,8.74574396
CN(C)CC#N,-6.4518229400000005,0.59048738,7.0423103199999995
CC(C)CC=O,-6.75114834,-0.53606458,6.21508376
CC(C)NC=O,-6.75931176,0.94695672,7.70626848
CC(C)OC=O,-7.47769272,0.3129311,7.79062382
